                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1181,                 1.9445,                 1.3553,                0.69542,                0.65317,                0.69591,                0.47329,                 1.1078,                 1.2944,                 1.2945,               0.066818,             7.5691e-05,             7.5691e-05
                      2,                 1.0933,                 1.5849,                 1.3466,                0.68444,                 0.6416,                0.69225,                0.46711,                 1.1267,                 1.2208,                 1.3207,               0.033561,             0.00015152,             0.00015152
                      3,                 1.0828,                 1.4947,                 1.3372,                0.70034,                0.67817,                0.73574,                0.50466,                  1.116,                 1.1557,                 1.3117,             0.00030313,              0.0002272,              0.0002272
                      4,                 1.0795,                 1.4354,                 1.3449,                0.72843,                0.66548,                 0.7225,                0.48938,                 1.1262,                 1.1533,                 1.3238,             0.00022709,             0.00022709,             0.00022709
                      5,                 1.0829,                 1.4284,                 1.3436,                0.73919,                0.69078,                0.74382,                0.51148,                 1.1217,                  1.114,                 1.3116,              0.0002267,              0.0002267,              0.0002267
                      6,                 1.0497,                 1.3874,                 1.3214,                0.70169,                0.68081,                0.73357,                0.50662,                 1.1222,                 1.1102,                 1.3121,              0.0002262,              0.0002262,              0.0002262
                      7,                 1.0579,                 1.3736,                 1.3327,                0.72982,                0.66927,                0.72967,                0.50142,                 1.1413,                 1.0853,                 1.3317,              0.0002256,              0.0002256,              0.0002256
                      8,                 1.0428,                 1.3194,                  1.319,                0.73512,                0.68588,                0.73367,                0.49507,                 1.1252,                 1.0912,                 1.3289,             0.00022488,             0.00022488,             0.00022488
                      9,                  1.041,                 1.3067,                 1.3176,                0.75673,                0.66512,                0.74176,                0.50604,                 1.1255,                 1.0815,                 1.3306,             0.00022405,             0.00022405,             0.00022405
                     10,                 1.0214,                 1.2669,                 1.3032,                0.75287,                0.67584,                0.75136,                0.51161,                 1.1281,                 1.0802,                 1.3241,             0.00022312,             0.00022312,             0.00022312
                     11,                 1.0193,                 1.2744,                 1.3064,                0.75567,                0.69031,                0.74618,                0.50814,                 1.1365,                 1.0697,                 1.3321,             0.00022208,             0.00022208,             0.00022208
                     12,                  1.013,                 1.2657,                 1.3021,                0.74222,                0.69772,                0.75086,                0.50407,                 1.1405,                 1.0657,                 1.3429,             0.00022093,             0.00022093,             0.00022093
                     13,                0.99635,                 1.2458,                 1.2851,                0.76292,                0.69289,                0.75086,                0.50889,                 1.1184,                 1.0497,                 1.3223,             0.00021968,             0.00021968,             0.00021968
                     14,                0.98243,                 1.2032,                 1.2711,                0.76295,                0.68841,                0.75125,                0.51124,                  1.105,                 1.0491,                 1.3231,             0.00021833,             0.00021833,             0.00021833
                     15,                0.99713,                 1.1986,                 1.2868,                0.77591,                0.68165,                0.76274,                0.52853,                 1.1026,                 1.0318,                 1.3091,             0.00021687,             0.00021687,             0.00021687
                     16,                0.98404,                 1.1523,                 1.2721,                0.75578,                 0.6941,                0.76254,                0.52766,                 1.1023,                 1.0291,                 1.3086,             0.00021531,             0.00021531,             0.00021531
                     17,                0.98417,                  1.171,                 1.2754,                0.77303,                 0.6874,                0.75649,                0.52209,                 1.0943,                 1.0285,                 1.3031,             0.00021366,             0.00021366,             0.00021366
                     18,                0.97361,                 1.1631,                 1.2727,                0.74513,                0.69369,                0.74737,                0.51153,                 1.1141,                 1.0352,                 1.3212,              0.0002119,              0.0002119,              0.0002119
                     19,                0.97466,                 1.1562,                 1.2669,                0.75043,                0.68909,                0.75378,                0.51892,                 1.1105,                 1.0272,                 1.3155,             0.00021005,             0.00021005,             0.00021005
                     20,                0.97151,                 1.1601,                 1.2712,                0.76619,                0.68277,                0.75212,                0.51424,                 1.1243,                 1.0271,                 1.3274,             0.00020811,             0.00020811,             0.00020811
                     21,                0.95763,                 1.1269,                 1.2604,                0.76613,                 0.6893,                0.75453,                0.51404,                 1.1047,                 1.0153,                 1.3099,             0.00020608,             0.00020608,             0.00020608
                     22,                0.96128,                   1.14,                 1.2605,                0.75289,                0.70955,                0.75964,                0.52068,                 1.1186,                 1.0079,                  1.322,             0.00020395,             0.00020395,             0.00020395
                     23,                0.95357,                 1.1085,                 1.2599,                0.78298,                0.69129,                 0.7678,                0.52826,                 1.1062,                 1.0055,                  1.311,             0.00020174,             0.00020174,             0.00020174
                     24,                0.95226,                  1.123,                 1.2587,                0.76503,                0.69373,                 0.7583,                0.52169,                 1.1103,                 1.0204,                 1.3221,             0.00019944,             0.00019944,             0.00019944
                     25,                0.94487,                 1.0988,                 1.2444,                0.79064,                0.69048,                0.76428,                0.52846,                 1.1132,                0.99434,                 1.3158,             0.00019706,             0.00019706,             0.00019706
                     26,                0.93856,                 1.0887,                 1.2455,                0.78165,                0.68681,                0.75553,                0.51759,                 1.1151,                 1.0172,                  1.319,             0.00019459,             0.00019459,             0.00019459
                     27,                0.92806,                 1.0659,                 1.2395,                0.75114,                0.69322,                0.75064,                0.51791,                 1.1212,                 1.0218,                 1.3231,             0.00019205,             0.00019205,             0.00019205
                     28,                0.92972,                 1.0566,                 1.2351,                0.75059,                0.70468,                0.76155,                0.52835,                 1.1161,                   1.01,                 1.3236,             0.00018944,             0.00018944,             0.00018944
                     29,                0.93264,                 1.0516,                 1.2363,                0.79387,                0.67982,                 0.7612,                0.53026,                 1.1061,                0.99125,                 1.3087,             0.00018674,             0.00018674,             0.00018674
                     30,                 0.9235,                 1.0469,                 1.2358,                0.76666,                0.70254,                0.75926,                0.52761,                 1.1048,                 1.0008,                 1.3165,             0.00018398,             0.00018398,             0.00018398
                     31,                 0.9123,                 1.0328,                 1.2233,                0.75819,                0.71135,                0.76809,                0.53469,                 1.0913,                0.99346,                 1.3089,             0.00018115,             0.00018115,             0.00018115
                     32,                0.91623,                 1.0193,                 1.2184,                0.76278,                0.70305,                0.76231,                0.52873,                 1.1024,                0.99626,                 1.3122,             0.00017826,             0.00017826,             0.00017826
                     33,                0.91056,                 1.0243,                 1.2207,                0.75786,                0.71667,                0.76546,                0.53115,                 1.0986,                0.99922,                 1.3038,              0.0001753,              0.0001753,              0.0001753
                     34,                0.90549,                 1.0241,                 1.2177,                0.76928,                0.70809,                0.76573,                0.53492,                 1.1006,                0.99508,                 1.3162,             0.00017228,             0.00017228,             0.00017228
                     35,                0.89557,                 1.0163,                  1.212,                0.74722,                0.69659,                0.75094,                 0.5225,                  1.107,                 1.0002,                  1.314,             0.00016921,             0.00016921,             0.00016921
                     36,                 0.9047,                 1.0103,                 1.2173,                0.75614,                0.70085,                0.75865,                0.52464,                 1.1111,                 1.0041,                 1.3211,             0.00016608,             0.00016608,             0.00016608
                     37,                0.90106,                0.99453,                 1.2144,                0.76644,                0.69249,                0.75849,                 0.5256,                  1.106,                0.99614,                 1.3173,              0.0001629,              0.0001629,              0.0001629
                     38,                0.88578,                0.99235,                 1.2114,                0.80511,                0.68177,                0.77012,                0.53636,                 1.1045,                0.97582,                 1.3082,             0.00015968,             0.00015968,             0.00015968
                     39,                0.87784,                0.98516,                 1.2084,                0.75741,                0.69058,                0.75797,                0.52758,                 1.1133,                0.99861,                 1.3255,             0.00015641,             0.00015641,             0.00015641
                     40,                0.88703,                0.99027,                 1.2094,                0.74456,                0.70567,                0.75658,                 0.5249,                 1.1043,                0.98775,                 1.3152,             0.00015309,             0.00015309,             0.00015309
                     41,                0.87117,                0.97567,                 1.2023,                0.78662,                0.70484,                 0.7637,                0.53291,                 1.1022,                0.97356,                 1.3165,             0.00014975,             0.00014975,             0.00014975
                     42,                 0.8772,                0.97096,                  1.202,                0.76665,                0.69697,                0.76325,                0.52863,                  1.102,                  0.989,                 1.3128,             0.00014636,             0.00014636,             0.00014636
                     43,                0.87196,                0.96434,                 1.2014,                0.77908,                0.68273,                0.75808,                0.52943,                 1.1022,                0.99211,                 1.3136,             0.00014295,             0.00014295,             0.00014295
                     44,                0.86815,                0.94688,                 1.1932,                0.76737,                0.69108,                0.75459,                0.52641,                 1.1021,                0.98868,                 1.3134,             0.00013951,             0.00013951,             0.00013951
                     45,                0.87323,                0.94952,                 1.1969,                0.76126,                0.69497,                0.74991,                0.52199,                  1.103,                0.99617,                   1.31,             0.00013604,             0.00013604,             0.00013604
                     46,                0.85742,                0.94327,                  1.192,                0.77363,                0.69204,                0.75072,                0.52011,                 1.1087,                 1.0013,                 1.3188,             0.00013256,             0.00013256,             0.00013256
                     47,                0.86657,                0.93714,                   1.19,                0.78393,                0.69397,                0.75491,                0.52795,                 1.0967,                0.97608,                 1.3054,             0.00012905,             0.00012905,             0.00012905
                     48,                0.85451,                0.91167,                 1.1771,                0.77328,                 0.6988,                0.75619,                 0.5301,                 1.0897,                0.98064,                 1.2963,             0.00012554,             0.00012554,             0.00012554
